"","c_charge_degree","sex","age_cat","Freq"
"1","F","Female","25 - 45",0.470170454545455
"2","M","Female","25 - 45",0.529829545454545
"3","F","Male","25 - 45",0.633476088508208
"4","M","Male","25 - 45",0.366523911491792
"5","F","Female","Greater than 45",0.393822393822394
"6","M","Female","Greater than 45",0.606177606177606
"7","F","Male","Greater than 45",0.587906976744186
"8","M","Male","Greater than 45",0.412093023255814
"9","F","Female","Less than 25",0.27734375
"10","M","Female","Less than 25",0.72265625
"11","F","Male","Less than 25",0.344402277039848
"12","M","Male","Less than 25",0.655597722960152
